codgeo;part_prestations_sociales_pct;part_minima_sociaux_pct;s_soc_ben_di_fam_ben;nombre_personnes;part_revenus_activite_pct;part_impots_directs_pct;part_indemnites_chomage_pct;s_ei_di_n_sal;nombre_unites_consommation;taux_pauvrete_60_pct;rapport_interdecile_d9_d1;part_revenus_patrimoine_autres_pct;niveau_vie_median_euros;niveau_vie_1er_decile_euros;s_soc_ben_di_hou_ben;nombre_menages;part_menages_imposes_pct;niveau_vie_9e_decile_euros;part_salaires_pct;part_pensions_retraites_rentes_pct
14226;;;;317;;;;;201,6;;;;21750;;;119;;;;
14215;4,9;1,7;2,5;2261;78,5;-14,0;2,4;4,6;1478,6;;2,3;4,4;23550;14670;0,7;859;57;34200;71,5;26,2
14305;;;;625;;;;;450,3;;;;29820;;;297;;;;
14240;;;;478;;;;;314,9;;;;22820;;;186;;;;
14230;;;;110;;;;;76,7;;;;26830;;;50;;;;
14224;;;;;;;;;;;;;;;;;;;;
14248;;;;264;;;;;172,5;;;;24960;;;101;;;;
14288;;;;970;;;;;626,5;;;;28130;;;359;;;;
14293;;;;243;;;;;165,2;;;;25620;;;103;;;;
14205;;;;207;;;;;137,7;;;;23420;;;82;;;;
16036;;;;301;;;;;198,2;;;;22560;;;115;;;;
16018;;;;691;;;;;480,9;;;;25270;;;306;;;;
16058;;;;1443;;;;;992,7;;;;25950;;;625;;;;
16052;;;;220;;;;;161,4;;;;21820;;;111;;;;
15265;;;;1556;;;;;1154,6;;;;20860;;;811;;;;
16027;;;;118;;;;;86,8;;;;24380;;;61;;;;
16028;8,0;4,2;1,9;4367;60,2;-13,2;2,8;5,3;3206,1;21;3,2;8,4;20230;11180;1,9;2255;40;35890;52,1;36,6
15268;;;;1072;;;;;773,9;;;;21640;;;532;;;;
16049;;;;328;;;;;244,6;;;;20420;;;173;;;;
15266;;;;605;;;;;415,5;;;;24180;;;262;;;;
15264;;;;262;;;;;190,5;;;;21720;;;129;;;;
15218;;;;;;;;;;;;;;;;;;;;
15141;;;;1626;;;;;1198,1;;;;21650;;;826;;;;
15203;;;;178;;;;;125,7;;;;22140;;;84;;;;
15130;;;;123;;;;;87,8;;;;18350;;;60;;;;
15129;;;;164;;;;;121,1;;;;19220;;;83;;;;
15143;;;;112;;;;;79,1;;;;22160;;;51;;;;
15134;;;;736;;;;;540,4;;;;21330;;;374;;;;
15151;;;;138;;;;;102,0;;;;17240;;;72;;;;
15123;;;;165;;;;;122,8;;;;22140;;;87;;;;
15131;;;;247;;;;;179,9;;;;19630;;;123;;;;
15158;;;;;;;;;;;;;;;;;;;;
14060;2,2;0,9;1,0;2028;69,2;-18,3;2,1;6,1;1387,4;;2,7;11,2;27550;17220;0,3;853;72;46580;61,0;35,7
14070;;;;187;;;;;135,6;;;;23840;;;94;;;;
14134;;;;184;;;;;125,1;;;;26240;;;77;;;;
14106;;;;659;;;;;449,1;;;;25510;;;271;;;;
14180;;;;149;;;;;97,6;;;;22190;;;59;;;;
14150;;;;1318;;;;;884,2;;;;22350;;;547;;;;
14173;;;;452;;;;;292,0;;;;22850;;;169;;;;
14136;;;;;;;;;;;;;;;;;;;;
14124;;;;571;;;;;390,3;;;;22150;;;246;;;;
14131;;;;213;;;;;152,3;;;;26910;;;98;;;;
14687;;;;192;;;;;127,5;;;;24610;;;79;;;;
14705;;;;132;;;;;94,7;;;;22760;;;61;;;;
14743;;;;150;;;;;102,8;;;;25200;;;64;;;;
14663;3,6;1,4;1,6;2348;62,4;-14,7;2,2;5,8;1613,0;;2,5;9,6;24390;15260;0,6;1015;57;38900;54,4;39,1
14645;;;;140;;;;;101,1;;;;23240;;;66;;;;
14701;;;;786;;;;;619,6;;;;29060;;;472;;;;
14706;;;;236;;;;;160,6;;;;30920;;;100;;;;
14661;;;;143;;;;;94,0;;;;22510;;;57;;;;
14678;;;;694;;;;;446,1;;;;22720;;;255;;;;
14685;;;;1921;;;;;1249,6;;;;25990;;;729;;;;
14740;;;;1072;;;;;747,9;;;;20630;;;487;;;;
14543;2,5;0,7;1,5;2537;80,7;-19,9;2,2;7,7;1677,4;;2,6;11,6;27800;17620;0,3;991;68;45550;70,8;25,1
14516;;;;1938;;;;;1347,0;;;;21040;;;887;;;;
14504;;;;766;;;;;504,6;;;;22260;;;299;;;;
14566;2,5;0,8;1,3;2472;74,9;-19,9;1,9;6,1;1631,8;;3,3;12,5;29500;16020;0,4;957;70;53280;66,9;30,0
14515;;;;1839;;;;;1368,0;;;;21460;;;966;;;;
14555;;;;453;;;;;299,5;;;;23330;;;177;;;;
14514;5,1;2,3;1,7;4441;68,2;-14,1;3,1;6,6;3213,3;13;2,8;7,5;21620;12970;1,1;2229;45;35680;58,5;33,3
14610;2,4;0,7;1,5;2141;68,1;-17,3;2,0;5,6;1392,7;;2,4;28,0;25600;16890;0,2;807;67;40560;60,5;18,8
14626;;;;1016;;;;;668,2;;;;22870;;;396;;;;
14547;;;;148;;;;;96,2;;;;20150;;;54;;;;
15042;;;;233;;;;;172,4;;;;20420;;;121;;;;
15082;;;;242;;;;;174,0;;;;17200;;;114;;;;
15034;;;;141;;;;;102,5;;;;18090;;;68;;;;
15063;;;;334;;;;;235,9;;;;20190;;;157;;;;
15088;;;;520;;;;;367,9;;;;23450;;;247;;;;
15016;;;;617;;;;;412,9;;;;21360;;;250;;;;
15049;;;;236;;;;;176,2;;;;17200;;;124;;;;
15050;;;;163;;;;;124,2;;;;18930;;;89;;;;
15026;;;;154;;;;;114,8;;;;19200;;;79;;;;
15046;;;;214;;;;;156,8;;;;18040;;;110;;;;
15036;;;;427;;;;;302,0;;;;21960;;;199;;;;
14394;;;;460;;;;;296,8;;;;22370;;;169;;;;
14483;;;;206;;;;;132,0;;;;23700;;;76;;;;
14383;3,9;1,5;1,7;2559;73,8;-16,6;2,5;5,1;1752,1;;2,8;9,3;25630;15510;0,7;1111;64;43230;66,2;29,6
14419;;;;232;;;;;160,3;;;;23340;;;103;;;;
14401;;;;137;;;;;94,1;;;;23660;;;59;;;;
14358;;;;;;;;;;;;;;;;;;;;
14427;;;;298;;;;;209,4;;;;20360;;;138;;;;
14425;;;;153;;;;;105,1;;;;23830;;;65;;;;
14335;;;;255;;;;;182,4;;;;25200;;;124;;;;
14457;;;;116;;;;;74,5;;;;20760;;;45;;;;
16053;;;;103;;;;;73,6;;;;21520;;;49;;;;
16046;;;;971;;;;;690,1;;;;20870;;;470;;;;
15261;;;;792;;;;;569,1;;;;22290;;;381;;;;
16029;;;;207;;;;;154,6;;;;19780;;;107;;;;
15233;;;;312;;;;;201,7;;;;24090;;;119;;;;
15253;;;;;;;;;;;;;;;;;;;;
15237;;;;168;;;;;114,2;;;;21830;;;70;;;;
16045;;;;370;;;;;241,7;;;;24890;;;142;;;;
15269;;;;133;;;;;95,0;;;;19860;;;63;;;;
15243;;;;443;;;;;331,1;;;;18400;;;234;;;;
14245;;;;304;;;;;204,7;;;;21700;;;124;;;;
14237;;;;627;;;;;406,9;;;;25440;;;234;;;;
14297;;;;551;;;;;345,7;;;;24980;;;189;;;;
14220;3,1;1,8;0,6;3706;42,3;-21,4;2,1;3,9;2911,3;13;4,2;25,9;23750;12610;0,7;2226;55;52830;36,3;50,1
14236;;;;487;;;;;314,7;;;;23380;;;183;;;;
14218;;;;329;;;;;217,4;;;;22590;;;129;;;;
14260;;;;228;;;;;161,4;;;;26580;;;106;;;;
14257;;;;1879;;;;;1241,7;;;;25620;;;738;;;;
14283;;;;221;;;;;142,7;;;;21560;;;80;;;;
14327;11,0;5,2;3,1;19382;67,6;-13,0;3,5;3,2;13782,9;27;3,2;4,4;18840;10240;2,7;9516;42;32440;60,9;30,0
15178;;;;128;;;;;92,0;;;;15230;;;65;;;;
15211;;;;279;;;;;200,6;;;;18610;;;135;;;;
15208;;;;131;;;;;96,3;;;;21090;;;68;;;;
15199;;;;;;;;;;;;;;;;;;;;
15202;;;;685;;;;;497,7;;;;19980;;;340;;;;
15194;;;;110;;;;;81,3;;;;22370;;;57;;;;
15174;;;;256;;;;;185,0;;;;18640;;;122;;;;
15149;;;;160;;;;;112,2;;;;22530;;;74;;;;
15168;;;;731;;;;;503,9;;;;22300;;;324;;;;
14162;;;;1236;;;;;851,9;;;;21540;;;551;;;;
14097;;;;304;;;;;191,3;;;;23840;;;103;;;;
14191;3,5;2,0;0,8;4199;44,1;-15,2;2,4;4,2;3299,8;11;2,9;9,2;23280;13270;0,7;2512;54;38410;37,5;58,4
14104;;;;170;;;;;113,7;;;;25380;;;70;;;;
14093;;;;191;;;;;132,1;;;;25600;;;81;;;;
14082;;;;187;;;;;116,8;;;;23860;;;65;;;;
14140;;;;375;;;;;242,3;;;;22510;;;142;;;;
14168;;;;212;;;;;145,5;;;;22660;;;94;;;;
14700;;;;671;;;;;436,9;;;;23250;;;249;;;;
14742;;;;;;;;;;;;;;;;;;;;
14675;4,1;1,4;2,0;2107;75,1;-14,7;2,3;3,9;1406,3;;2,4;5,0;24870;15270;0,7;838;62;37130;68,9;30,5
14712;4,4;1,8;1,9;3270;72,6;-14,1;2,1;3,4;2218,7;7;2,4;4,6;23510;15110;0,7;1369;57;36130;67,1;32,5
14733;;;;325;;;;;213,2;;;;25240;;;128;;;;
14721;;;;685;;;;;432,0;;;;24370;;;243;;;;
14664;;;;315;;;;;200,4;;;;19270;;;111;;;;
14681;;;;148;;;;;101,1;;;;22500;;;62;;;;
14656;;;;1049;;;;;728,9;;;;20960;;;476;;;;
15060;;;;;;;;;;;;;;;;;;;;
15095;;;;345;;;;;245,2;;;;21570;;;164;;;;
15061;;;;231;;;;;164,3;;;;19320;;;110;;;;
15055;;;;462;;;;;317,9;;;;22120;;;200;;;;
15017;;;;129;;;;;89,4;;;;20810;;;59;;;;
15059;;;;122;;;;;89,2;;;;19630;;;61;;;;
15013;;;;152;;;;;113,6;;;;17360;;;81;;;;
15075;;;;;;;;;;;;;;;;;;;;
15103;;;;239;;;;;171,1;;;;20560;;;114;;;;
14572;;;;743;;;;;524,4;;;;21920;;;343;;;;
14536;4,0;1,9;1,4;2544;76,6;-16,0;2,9;5,3;1819,6;9;2,7;7,3;23480;14420;0,7;1243;56;39370;68,4;28,1
14574;;;;1549;;;;;1071,8;;;;23520;;;684;;;;
14598;;;;273;;;;;176,1;;;;24270;;;104;;;;
14605;;;;284;;;;;207,0;;;;24370;;;136;;;;
14512;;;;;;;;;;;;;;;;;;;;
14556;;;;1623;;;;;1099,2;;;;23600;;;667;;;;
14446;;;;;;;;;;;;;;;;;;;;
14385;;;;169;;;;;109,5;;;;24320;;;61;;;;
14468;;;;342;;;;;232,9;;;;22610;;;142;;;;
14391;;;;424;;;;;282,2;;;;24930;;;166;;;;
14426;;;;181;;;;;118,5;;;;28550;;;73;;;;
14375;;;;165;;;;;109,9;;;;22690;;;64;;;;
14402;;;;;;;;;;;;;;;;;;;;
14366;9,5;4,9;2,3;17676;61,2;-12,6;3,0;4,4;13246,2;22;3,0;5,5;19440;10770;2,3;9737;39;32640;53,8;36,4
14380;;;;206;;;;;133,5;;;;25320;;;76;;;;
15245;;;;252;;;;;174,0;;;;23290;;;110;;;;
16032;;;;478;;;;;333,4;;;;23450;;;215;;;;
16050;;;;232;;;;;167,5;;;;23280;;;113;;;;
16014;;;;144;;;;;92,7;;;;21960;;;53;;;;
16069;;;;401;;;;;288,0;;;;21300;;;193;;;;
15258;;;;1761;;;;;1277,3;;;;21750;;;883;;;;
16001;;;;418;;;;;301,4;;;;18600;;;205;;;;
16019;;;;1274;;;;;867,6;;;;23840;;;546;;;;
15165;;;;171;;;;;127,5;;;;18890;;;91;;;;
15167;;;;110;;;;;78,0;;;;18820;;;53;;;;
15200;;;;136;;;;;100,8;;;;19420;;;69;;;;
15221;;;;1399;;;;;943,7;;;;23310;;;578;;;;
15216;;;;333;;;;;243,6;;;;22520;;;171;;;;
15128;;;;106;;;;;77,8;;;;20730;;;56;;;;
15187;6,0;3,1;1,6;5673;62,8;-13,7;1,9;6,8;4211,2;14;2,9;10,8;21380;12540;1,3;3025;44;35760;54,1;34,1
15175;;;;1010;;;;;720,1;;;;21510;;;483;;;;
14280;;;;247;;;;;163,5;;;;22850;;;96;;;;
14304;;;;838;;;;;566,4;;;;28220;;;341;;;;
14271;6,8;3,5;1,9;4763;74,7;-15,2;3,0;5,2;3374,8;16;3,0;8,5;21780;12160;1,4;2291;49;36780;66,5;25,2
14232;;;;174;;;;;114,8;;;;25020;;;70;;;;
14270;;;;351;;;;;244,7;;;;23730;;;154;;;;
14320;;;;293;;;;;200,7;;;;23510;;;124;;;;
14328;;;;1338;;;;;899,3;;;;24560;;;559;;;;
14278;;;;1217;;;;;784,9;;;;24300;;;454;;;;
14228;3,7;1,5;1,5;4965;71,2;-17,3;2,7;6,4;3430,5;9;3,1;8,6;25920;14570;0,7;2189;62;44960;62,1;33,8
15098;;;;;;;;;;;;;;;;;;;;
15051;;;;184;;;;;137,3;;;;18490;;;97;;;;
15081;;;;103;;;;;79,6;;;;20000;;;59;;;;
15019;;;;206;;;;;146,4;;;;19220;;;99;;;;
15066;;;;107;;;;;84,0;;;;20010;;;63;;;;
15029;;;;436;;;;;318,5;;;;19330;;;218;;;;
15097;;;;105;;;;;73,0;;;;17500;;;48;;;;
15120;5,4;2,8;1,4;3198;58,4;-13,3;1,6;7,4;2382,8;15;2,8;10,7;21240;12740;1,2;1705;41;35540;49,4;38,8
15024;;;;;;;;;;;;;;;;;;;;
15040;;;;;;;;;;;;;;;;;;;;
14588;;;;341;;;;;214,7;;;;21660;;;123;;;;
14533;;;;;;;;;;;;;;;;;;;;
14562;3,2;1,5;1,1;2413;58,5;-17,1;2,5;6,2;1744,2;8;3,2;15,2;25140;14390;0,6;1183;61;46680;49,8;40,2
14511;;;;;;;;;;;;;;;;;;;;
14635;;;;185;;;;;121,0;;;;22590;;;73;;;;
14496;;;;;;;;;;;;;;;;;;;;
28018;;;;1378;;;;;989,3;;;;21800;;;679;;;;
14190;;;;136;;;;;95,0;;;;21850;;;61;;;;
14126;;;;1207;;;;;836,1;;;;23690;;;541;;;;
14087;;;;134;;;;;86,6;;;;22630;;;52;;;;
14055;;;;352;;;;;260,5;;;;23740;;;180;;;;
14066;3,4;1,5;1,3;2428;66,4;-16,2;2,8;5,8;1726,0;;2,5;7,3;24440;15560;0,6;1155;60;39060;57,8;39,1
14110;;;;114;;;;;77,9;;;;24050;;;49;;;;
14146;;;;168;;;;;113,9;;;;20860;;;71;;;;
14116;;;;109;;;;;72,9;;;;25780;;;47;;;;
14118;7,3;3,8;1,5;86775;71,3;-17,6;3,1;6,4;65647,0;21;4,0;9,8;21600;10490;2,0;48977;50;41590;61,8;29,2
14437;6,6;3,4;1,7;9330;69,1;-12,9;3,1;2,5;6799,8;13;2,6;4,7;21760;12840;1,5;4769;49;33410;63,5;32,5
14431;6,7;2,7;2,9;9082;71,1;-12,6;2,8;4,1;6168,5;15;2,6;5,1;20780;12550;1,1;3916;42;32100;64,2;29,7
14403;;;;718;;;;;481,8;;;;22970;;;299;;;;
14336;;;;485;;;;;323,6;;;;23460;;;194;;;;
14399;;;;305;;;;;211,6;;;;26800;;;130;;;;
14365;3,1;1,4;1,1;2598;64,5;-16,7;2,8;5,3;1855,5;;2,8;12,5;25200;15310;0,6;1235;63;42530;56,4;36,6
14362;;;;153;;;;;107,3;;;;21880;;;70;;;;
14473;;;;107;;;;;75,7;;;;24600;;;48;;;;
15235;;;;581;;;;;397,0;;;;21030;;;250;;;;
16030;;;;1034;;;;;712,4;;;;23520;;;449;;;;
16005;;;;1383;;;;;1009,7;;;;20570;;;700;;;;
28062;;;;883;;;;;582,5;;;;26850;;;342;;;;
28023;;;;1352;;;;;909,1;;;;27620;;;543;;;;
28027;;;;1106;;;;;818,0;;;;20480;;;576;;;;
27674;;;;272;;;;;185,0;;;;30340;;;117;;;;
28070;2,8;0,9;1,4;3681;75,0;-17,6;2,0;4,2;2430,0;;2,5;14,4;26790;16990;0,5;1421;69;42360;68,8;25,4
15003;;;;536;;;;;397,5;;;;20980;;;277;;;;
14660;;;;110;;;;;76,3;;;;23280;;;50;;;;
14684;;;;218;;;;;140,7;;;;24240;;;83;;;;
14744;;;;271;;;;;176,6;;;;23830;;;103;;;;
27047;;;;332;;;;;220,8;;;;22060;;;136;;;;
27046;;;;129;;;;;88,6;;;;21080;;;58;;;;
27055;;;;323;;;;;210,9;;;;24480;;;124;;;;
27045;;;;789;;;;;523,9;;;;25000;;;308;;;;
27022;7,2;3,0;3,0;5323;73,4;-13,3;3,0;1,8;3552,6;13;2,7;4,3;21710;12670;1,2;2147;50;33610;68,6;28,4
15192;;;;291;;;;;204,6;;;;20470;;;137;;;;
27243;;;;725;;;;;485,5;;;;25460;;;294;;;;
27294;;;;1004;;;;;661,6;;;;22970;;;397;;;;
27190;;;;191;;;;;141,1;;;;29650;;;99;;;;
27288;;;;586;;;;;387,2;;;;22490;;;235;;;;
27219;;;;555;;;;;370,7;;;;23860;;;226;;;;
27220;;;;349;;;;;237,2;;;;22720;;;150;;;;
27206;;;;432;;;;;289,0;;;;24190;;;177;;;;
27199;;;;570;;;;;390,4;;;;24350;;;242;;;;
27306;4,3;1,5;2,3;2959;75,5;-16,9;2,5;4,7;1927,3;8;2,7;7,9;24700;14530;0,5;1123;65;39870;68,3;29,2
14062;;;;478;;;;;312,6;;;;25020;;;180;;;;
14059;;;;483;;;;;386,9;;;;26170;;;302;;;;
28189;;;;157;;;;;107,1;;;;24310;;;65;;;;
28079;;;;282;;;;;204,5;;;;21540;;;143;;;;
28098;;;;1833;;;;;1236,5;;;;25810;;;767;;;;
28194;;;;446;;;;;305,4;;;;28540;;;188;;;;
28153;;;;207;;;;;142,1;;;;23790;;;88;;;;
28092;;;;240;;;;;160,4;;;;24760;;;97;;;;
28123;;;;443;;;;;315,0;;;;21830;;;209;;;;
