table_schema;table_name;ordinal_position;column_name;data_type
insee_raw;cc_caracteristiques_emploi_2022;1;codgeo;text
insee_raw;cc_caracteristiques_emploi_2022;2;actifs_occupes_15_plus_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;3;salaries_15_plus_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;4;non_salaries_15_plus_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;5;actifs_occupes_temps_partiel_15_plus_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;6;salaries_temps_partiel_15_plus_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;7;non_salaries_temps_partiel_15_plus_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;8;salaries_cdi_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;9;salaries_cdd_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;10;salaries_interim_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;11;salaries_emplois_aides_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;12;salaries_apprentis_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;13;non_salaries_independants_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;14;non_salaries_employeurs_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;15;non_salaries_aides_familiaux_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;16;salaries_hommes_temps_partiel_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;17;salaries_femmes_temps_partiel_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;18;actifs_occupes_travaillant_commune_residence_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;19;actifs_occupes_travaillant_hors_commune_residence_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;20;actifs_occupes_travaillant_autre_commune_meme_departement_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;21;actifs_occupes_travaillant_autre_departement_meme_region_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;22;actifs_occupes_travaillant_autre_region_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;23;actifs_occupes_travaillant_hors_france_metropolitaine_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;24;transport_pas_de_deplacement_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;25;transport_marche_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;26;transport_velo_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;27;transport_deux_roues_motorise_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;28;transport_voiture_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;29;transport_commun_2022;double precision
insee_raw;cc_caracteristiques_emploi_2022;30;actifs_occupes_15_plus_2016;double precision
insee_raw;cc_caracteristiques_emploi_2022;31;salaries_15_plus_2016;double precision
insee_raw;cc_caracteristiques_emploi_2022;32;non_salaries_15_plus_2016;double precision
insee_raw;cc_caracteristiques_emploi_2022;33;actifs_occupes_temps_partiel_15_plus_2016;double precision
insee_raw;cc_caracteristiques_emploi_2022;34;salaries_temps_partiel_15_plus_2016;double precision
insee_raw;cc_caracteristiques_emploi_2022;35;non_salaries_temps_partiel_15_plus_2016;double precision
insee_raw;cc_caracteristiques_emploi_2022;36;salaries_cdi_2016;double precision
insee_raw;cc_caracteristiques_emploi_2022;37;salaries_cdd_2016;double precision
insee_raw;cc_caracteristiques_emploi_2022;38;salaries_interim_2016;double precision
insee_raw;cc_caracteristiques_emploi_2022;39;salaries_emplois_aides_2016;double precision
insee_raw;cc_caracteristiques_emploi_2022;40;salaries_apprentis_2016;double precision
insee_raw;cc_caracteristiques_emploi_2022;41;non_salaries_independants_2016;double precision
insee_raw;cc_caracteristiques_emploi_2022;42;non_salaries_employeurs_2016;double precision
insee_raw;cc_caracteristiques_emploi_2022;43;non_salaries_aides_familiaux_2016;double precision
insee_raw;cc_caracteristiques_emploi_2022;44;actifs_occupes_travaillant_commune_residence_2016;double precision
insee_raw;cc_caracteristiques_emploi_2022;45;actifs_occupes_travaillant_hors_commune_residence_2016;double precision
insee_raw;cc_caracteristiques_emploi_2022;46;transport_pas_de_deplacement_2016;double precision
insee_raw;cc_caracteristiques_emploi_2022;47;transport_marche_2016;double precision
insee_raw;cc_caracteristiques_emploi_2022;48;transport_deux_roues_2016;double precision
insee_raw;cc_caracteristiques_emploi_2022;49;transport_voiture_2016;double precision
insee_raw;cc_caracteristiques_emploi_2022;50;transport_commun_2016;double precision
insee_raw;cc_diplome_2022;1;codgeo;text
insee_raw;cc_diplome_2022;2;population_2_5_2022;double precision
insee_raw;cc_diplome_2022;3;population_6_10_2022;double precision
insee_raw;cc_diplome_2022;4;population_11_14_2022;double precision
insee_raw;cc_diplome_2022;5;population_15_17_2022;double precision
insee_raw;cc_diplome_2022;6;population_18_24_2022;double precision
insee_raw;cc_diplome_2022;7;population_25_29_2022;double precision
insee_raw;cc_diplome_2022;8;population_30_plus_2022;double precision
insee_raw;cc_diplome_2022;9;scolarises_2_5_2022;double precision
insee_raw;cc_diplome_2022;10;scolarises_6_10_2022;double precision
insee_raw;cc_diplome_2022;11;scolarises_11_14_2022;double precision
insee_raw;cc_diplome_2022;12;scolarises_15_17_2022;double precision
insee_raw;cc_diplome_2022;13;scolarises_18_24_2022;double precision
insee_raw;cc_diplome_2022;14;scolarises_25_29_2022;double precision
insee_raw;cc_diplome_2022;15;scolarises_30_plus_2022;double precision
insee_raw;cc_diplome_2022;16;population_non_scolarisee_15_plus_2022;double precision
insee_raw;cc_diplome_2022;17;sans_diplome_2022;double precision
insee_raw;cc_diplome_2022;18;brevet_2022;double precision
insee_raw;cc_diplome_2022;19;cap_bep_2022;double precision
insee_raw;cc_diplome_2022;20;bac_2022;double precision
insee_raw;cc_diplome_2022;21;diplome_superieur_bac_2_2022;double precision
insee_raw;cc_diplome_2022;22;diplome_superieur_bac_3_4_2022;double precision
insee_raw;cc_diplome_2022;23;diplome_superieur_bac_5_plus_2022;double precision
insee_raw;cc_diplome_2022;24;diplomes_superieur_2022;double precision
insee_raw;cc_diplome_2022;25;population_non_scolarisee_15_plus_2016;double precision
insee_raw;cc_diplome_2022;26;sans_diplome_2016;double precision
insee_raw;cc_diplome_2022;27;cap_bep_2016;double precision
insee_raw;cc_diplome_2022;28;bac_2016;double precision
insee_raw;cc_diplome_2022;29;diplomes_superieur_2016;double precision
insee_raw;cc_diplome_2022;30;population_15_17_2016;double precision
insee_raw;cc_diplome_2022;31;population_18_24_2016;double precision
insee_raw;cc_diplome_2022;32;population_25_29_2016;double precision
insee_raw;cc_diplome_2022;33;scolarises_15_17_2016;double precision
insee_raw;cc_diplome_2022;34;scolarises_18_24_2016;double precision
insee_raw;cc_diplome_2022;35;scolarises_25_29_2016;double precision
insee_raw;cc_emploi_2022;1;codgeo;text
insee_raw;cc_emploi_2022;2;population_15_64_2022;double precision
insee_raw;cc_emploi_2022;3;population_15_24_2022;double precision
insee_raw;cc_emploi_2022;4;population_25_54_2022;double precision
insee_raw;cc_emploi_2022;5;population_55_64_2022;double precision
insee_raw;cc_emploi_2022;6;actifs_15_64_2022;double precision
insee_raw;cc_emploi_2022;7;actifs_15_24_2022;double precision
insee_raw;cc_emploi_2022;8;actifs_25_54_2022;double precision
