file_name;column_position;column_name
cc_population_2022.csv;1;codgeo
cc_population_2022.csv;2;population_2022
cc_population_2022.csv;3;population_2016
cc_population_2022.csv;4;population_2011
cc_population_2022.csv;5;pop_0_14_2022
cc_population_2022.csv;6;pop_15_29_2022
cc_population_2022.csv;7;pop_30_44_2022
cc_population_2022.csv;8;pop_45_59_2022
cc_population_2022.csv;9;pop_60_74_2022
cc_population_2022.csv;10;pop_75_89_2022
cc_population_2022.csv;11;pop_90_plus_2022
cc_population_2022.csv;12;hommes_2022
cc_population_2022.csv;13;femmes_2022
cc_population_2022.csv;14;pop_0_14_2016
cc_population_2022.csv;15;pop_15_29_2016
cc_population_2022.csv;16;pop_30_44_2016
cc_population_2022.csv;17;pop_45_59_2016
cc_population_2022.csv;18;pop_60_74_2016
cc_population_2022.csv;19;pop_75_89_2016
cc_population_2022.csv;20;pop_90_plus_2016
cc_population_2022.csv;21;pop_0_14_2011
cc_population_2022.csv;22;pop_15_29_2011
cc_population_2022.csv;23;pop_30_44_2011
cc_population_2022.csv;24;pop_45_59_2011
cc_population_2022.csv;25;pop_60_74_2011
cc_population_2022.csv;26;pop_75_89_2011
cc_population_2022.csv;27;pop_90_plus_2011
cc_emploi_2022.csv;1;codgeo
cc_emploi_2022.csv;2;population_15_64_2022
cc_emploi_2022.csv;3;population_15_24_2022
cc_emploi_2022.csv;4;population_25_54_2022
cc_emploi_2022.csv;5;population_55_64_2022
cc_emploi_2022.csv;6;actifs_15_64_2022
cc_emploi_2022.csv;7;actifs_15_24_2022
cc_emploi_2022.csv;8;actifs_25_54_2022
cc_emploi_2022.csv;9;actifs_55_64_2022
cc_emploi_2022.csv;10;actifs_occupes_15_64_2022
cc_emploi_2022.csv;11;actifs_occupes_15_24_2022
cc_emploi_2022.csv;12;actifs_occupes_25_54_2022
cc_emploi_2022.csv;13;actifs_occupes_55_64_2022
cc_emploi_2022.csv;14;chomeurs_15_64_2022
cc_emploi_2022.csv;15;chomeurs_15_24_2022
cc_emploi_2022.csv;16;chomeurs_25_54_2022
cc_emploi_2022.csv;17;chomeurs_55_64_2022
cc_emploi_2022.csv;18;inactifs_15_64_2022
cc_emploi_2022.csv;19;etudiants_15_64_2022
cc_emploi_2022.csv;20;retraites_15_64_2022
cc_emploi_2022.csv;21;autres_inactifs_15_64_2022
cc_emploi_2022.csv;22;hommes_15_64_2022
cc_emploi_2022.csv;23;femmes_15_64_2022
cc_emploi_2022.csv;24;hommes_actifs_15_64_2022
cc_emploi_2022.csv;25;femmes_actives_15_64_2022
cc_emploi_2022.csv;26;hommes_chomeurs_15_64_2022
cc_emploi_2022.csv;27;femmes_chomeuses_15_64_2022
cc_emploi_2022.csv;28;hommes_actifs_occupes_15_64_2022
cc_emploi_2022.csv;29;femmes_actives_occupees_15_64_2022
cc_emploi_2022.csv;30;emplois_lieu_travail_2022
cc_emploi_2022.csv;31;actifs_occupes_15p_2022
cc_emploi_2022.csv;32;population_15p_2022
cc_emploi_2022.csv;33;actifs_15p_2022
cc_emploi_2022.csv;34;emplois_salaries_2022
