codgeo;population_2022;population_2016;population_2011;evol_population_2016_2022_pct;evol_population_2011_2022_pct;part_0_14_ans_2022;part_15_29_ans_2022;part_moins_30_ans_2022;part_60_ans_plus_2022;part_75_ans_plus_2022;indice_vieillissement_simplifie;part_femmes_2022;part_hommes_2022;population_15_64_2022;actifs_15_64_2022;actifs_occupes_15_64_2022;chomeurs_15_64_2022;taux_activite_2022;taux_emploi_2022;taux_chomage_2022;taux_chomage_jeunes_2022;taux_chomage_55_64_2022;part_inactifs_15_64_2022;part_etudiants_15_64_2022;part_retraites_15_64_2022;emplois_lieu_travail_2022;part_emplois_salaries_2022;part_emplois_non_salaries_2022;part_emplois_agriculture_2022;part_emplois_industrie_2022;part_emplois_construction_2022;part_emplois_commerce_transport_services_2022;part_emplois_admin_enseignement_sante_social_2022;part_emplois_cadres_2022;part_emplois_ouvriers_2022;part_emplois_employes_2022;evol_taux_chomage_2016_2022_points;evol_emplois_lieu_travail_2016_2022_pct;population_non_scolarisee_15_plus_2022;part_sans_diplome_2022;part_cap_bep_2022;part_bac_2022;part_diplomes_superieur_2022;part_bac_5_plus_2022;taux_scolarisation_15_17_2022;taux_scolarisation_18_24_2022;taux_scolarisation_25_29_2022;evol_part_sans_diplome_2016_2022_points;evol_part_diplomes_superieur_2016_2022_points;logements_2022;residences_principales_2022;residences_secondaires_2022;logements_vacants_2022;maisons_2022;appartements_2022;part_residences_principales_2022;part_residences_secondaires_2022;part_logements_vacants_2022;part_maisons_2022;part_appartements_2022;part_proprietaires_2022;part_locataires_2022;part_locataires_hlm_2022;taille_moyenne_menage_logement_2022;nombre_moyen_pieces_residence_principale_2022;part_menages_avec_voiture_2022;part_menages_2_voitures_plus_2022;evol_logements_2016_2022_pct;evol_logements_vacants_2016_2022_pct;menages_2022;population_menages_2022;familles_2022;taille_moyenne_menage_2022;part_menages_personnes_seules_2022;part_menages_couples_sans_enfant_2022;part_menages_couples_avec_enfant_2022;part_menages_familles_monoparentales_2022;part_familles_monoparentales_2022;part_familles_recomposees_2022;part_80_plus_seuls_2022;evol_menages_personnes_seules_2016_2022_pct;evol_familles_monoparentales_2016_2022_pct;part_salaries_2022;part_non_salaries_2022;part_temps_partiel_2022;part_cdi_2022;part_cdd_2022;part_interim_2022;part_apprentis_2022;part_travail_commune_residence_2022;part_travail_hors_commune_residence_2022;part_transport_voiture_2022;part_transport_commun_2022;part_transport_velo_2022;part_transport_marche_2022;part_pas_de_deplacement_2022;niveau_vie_median_euros;niveau_vie_1er_decile_euros;niveau_vie_9e_decile_euros;rapport_interdecile_d9_d1;taux_pauvrete_60_pct;part_menages_imposes_pct;part_revenus_activite_pct;part_salaires_pct;part_revenus_non_salaries_pct;part_indemnites_chomage_pct;part_pensions_retraites_rentes_pct;part_prestations_sociales_pct;part_revenus_patrimoine_autres_pct;part_impots_directs_pct;nom_commune;code_departement;code_region;type_commune
01004;15554;14081;13839;10,46;12,39;19,24;20,32;39,56;24,04;8,83;60,77;51,84;48,15;9752;7479;6473;1005;76,69;66,38;13,44;22,45;11,07;23,30;9,09;5,21;8290;88,66;11,34;0,24;7,48;5,63;44,69;38,42;13,31;20,72;30,19;-2,67;10,47;11282;20,22;25,92;19,05;28,78;8,48;93,78;40,88;2,41;-8,14;3,36;7973;7107;125;741;3578;4311;89,14;1,57;9,29;44,88;54,07;45,05;53,12;20,99;2,12;3,87;85,32;34,74;11,89;12,79;7064;15061;4114;2,13;40,87;24,42;23,66;9,67;16,80;4,04;49,15;14,02;4,70;90,61;9,39;14,58;81,99;9,35;4,19;3,72;39,31;60,68;71,55;13,69;1,92;7,53;4,32;21660;11890;36450;3,1;17;50;72,3;65,7;3,4;3,2;25,3;7,0;10,2;-14,8;Ambérieu-en-Bugey;01;84;COM
01005;1917;1671;1600;14,72;19,81;18,88;15,13;34,01;23,42;7,25;68,87;49,92;50,03;1228;999;936;63;81,35;76,22;6,31;8,33;7,59;18,65;6,27;6,76;249;63,05;36,55;4,42;18,47;27,31;40,16;38,15;16,87;14,86;29,32;-1,56;-17,00;1443;17,81;29,18;19,13;28,21;6,51;93,55;40,19;1,67;-10,35;4,48;920;814;7;98;673;243;88,48;0,76;10,65;73,15;26,41;72,97;25,18;9,34;2,36;4,62;96,44;56,76;34,11;188,24;819;1917;573;2,34;26,62;30,16;34,80;4,76;6,81;6,28;34,88;67,69;-15,22;86,81;13,19;14,14;89,19;4,86;1,94;2,79;11,18;88,82;89,35;2,95;0,11;2,11;4,54;24610;15560;40580;2,6;;61;81,5;74,9;4,3;2,3;21,4;3,4;10,0;-16,3;Ambérieux-en-Dombes;01;84;COM
01006;114;110;112;3,64;1,79;8,77;12,28;21,05;40,35;7,02;191,67;47,37;52,63;72;51;46;5;70,83;63,89;9,80;25,00;9,09;29,17;4,17;16,67;5;60,00;40,00;100,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;-3,99;-16,67;101;19,80;27,72;15,84;28,71;5,94;50,00;16,67;0,00;-2,30;15,03;71;57;8;6;68;3;80,28;11,27;8,45;95,77;4,23;71,93;26,32;1,75;2,00;4,88;96,49;50,88;-4,05;-33,33;57;114;41;2,00;26,32;35,09;17,54;17,54;24,39;0,00;0,00;-25,00;100,00;89,36;10,64;10,64;88,10;9,52;2,38;0,00;10,64;89,36;91,49;0,00;0,00;0,00;4,26;24210;;;;;;;;;;;;;;Ambléon;01;84;COM
01007;2828;2684;2364;5,37;19,63;21,53;13,93;35,47;22,91;7,14;64,61;51,03;48,94;1739;1395;1289;105;80,22;74,12;7,53;14,16;5,13;19,72;7,19;7,02;497;77,46;22,33;2,01;17,30;12,68;39,64;29,58;11,87;28,57;23,94;-0,94;-1,19;2060;14,56;31,02;19,76;30,19;7,23;95,19;30,28;3,40;-9,99;3,43;1302;1207;42;52;1101;198;92,70;3,23;3,99;84,56;15,21;72,99;26,01;9,03;2,33;4,57;94,78;53,52;7,51;-34,18;1216;2818;825;2,32;30,35;27,55;31,09;9,13;13,45;4,61;43,86;31,79;18,09;89,49;10,44;14,97;89,11;6,26;2,74;1,20;13,74;86,19;85,57;7,29;0,69;1,53;3,68;24860;15170;39460;2,6;;60;77,2;72,7;2,1;2,4;26,2;4,2;7,2;-14,8;Ambronay;01;84;COM
01008;764;750;734;1,87;4,09;19,11;13,61;32,72;24,08;6,02;73,60;49,74;50,13;490;390;372;18;79,59;75,92;4,62;7,14;3,49;20,20;7,96;7,35;126;69,84;30,16;3,17;3,97;7,94;65,08;30,95;3,97;19,84;39,68;-1,60;-13,10;564;13,12;31,21;18,62;32,45;7,27;100,00;41,18;0,00;-4,66;2,52;365;332;11;21;332;33;90,96;3,01;5,75;90,96;9,04;74,70;24,10;4,22;2,30;4,67;96,69;59,64;4,58;-12,50;331;764;225;2,31;30,21;25,08;33,84;8,76;12,89;4,44;59,09;6,38;20,83;89,25;10,75;12,90;91,57;4,22;1,51;2,11;11,29;88,71;81,45;8,60;1,61;1,61;5,38;26300;;;;;;;;;;;;;;Ambutrix;01;84;COM
01009;335;336;339;-0,30;-1,18;14,93;11,04;25,97;31,94;12,24;122,99;47,16;52,54;197;160;156;3;81,22;79,19;1,88;0,00;0,00;18,78;6,09;6,60;27;37,04;59,26;0,00;14,81;14,81;14,81;0,00;0,00;0,00;0,00;-8,40;22,73;265;13,21;26,42;23,77;30,94;5,66;100,00;33,33;0,00;-7,42;0,98;198;154;24;19;180;18;77,78;12,12;9,60;90,91;9,09;85,71;12,34;0,00;2,18;5,03;95,45;55,84;5,32;5,56;154;335;108;2,18;32,47;40,91;20,13;5,84;8,33;3,70;45,00;8,70;-40,00;79,11;20,89;18,35;80,00;7,20;6,40;2,40;14,56;85,44;89,24;2,53;0,00;0,63;5,70;24810;;;;;;;;;;;;;;Andert-et-Condon;01;84;COM
01010;1150;1124;1031;2,31;11,54;20,61;15,04;35,65;23,13;7,74;64,88;49,74;50,17;723;553;512;41;76,49;70,82;7,41;13,46;8,54;23,51;7,75;7,47;256;84,77;15,23;1,56;54,30;10,16;22,66;11,33;1,95;46,09;15,23;-2,16;-3,76;837;17,32;35,72;20,43;21,27;4,18;90,91;26,79;4,92;-10,06;2,30;615;495;68;51;543;58;80,49;11,06;8,29;88,29;9,43;79,60;18,59;7,47;2,32;4,59;96,57;52,12;1,65;-1,92;501;1150;315;2,30;32,93;22,36;29,54;10,78;17,14;4,44;50,00;9,27;35,00;89,73;10,08;14,53;86,83;7,13;1,51;3,02;14,34;85,47;91,67;2,13;0,97;0,97;2,91;24700;;;;;;;;;;;;;;Anglefort;01;84;COM
01011;399;383;374;4,18;6,68;21,55;13,28;34,84;23,81;7,02;68,35;46,12;53,63;231;190;178;11;82,25;77,06;5,79;18,75;2,94;17,75;7,79;3,03;28;60,71;35,71;14,29;0,00;14,29;96,43;42,86;0,00;32,14;60,71;-3,50;12,00;290;15,17;26,21;19,31;33,45;7,93;100,00;10,53;0,00;-7,62;1,83;200;169;16;15;169;31;84,50;8,00;7,50;84,50;15,50;75,74;22,49;13,02;2,36;4,79;98,22;56,80;5,26;-6,25;170;399;119;2,35;29,41;32,94;28,82;8,24;11,76;4,20;30,77;25,00;;84,62;14,84;16,48;88,31;6,49;0,65;0,00;10,99;89,01;93,96;0,00;0,00;0,55;3,85;24530;;;;;;;;;;;;;;Apremont;01;84;COM
01012;329;325;306;1,23;7,52;17,02;10,33;27,36;33,13;10,64;121,11;51,06;48,63;192;155;143;11;80,73;74,48;7,10;22,22;2,94;19,27;6,77;7,81;42;73,81;26,19;21,43;21,43;9,52;19,05;0,00;0,00;11,90;21,43;-3,94;-31,15;251;21,51;29,08;17,93;25,90;4,38;100,00;44,44;0,00;-9,38;-0,12;220;156;48;15;205;15;70,91;21,82;6,82;93,18;6,82;82,69;13,46;4,49;2,11;4,68;94,87;42,31;0,00;-25,00;153;329;93;2,15;39,22;28,10;26,14;5,88;9,68;10,75;65,22;9,09;-10,00;86,11;13,19;15,97;88,71;5,65;0,00;3,23;15,97;83,33;80,56;3,47;0,00;7,64;4,86;24270;;;;;;;;;;;;;;Aranc;01;84;COM
01013;140;148;162;-5,41;-13,58;10,00;15,00;25,00;32,86;10,71;131,43;40,00;59,29;87;67;61;6;77,01;70,11;8,96;12,50;7,14;21,84;8,05;6,90;21;28,57;71,43;23,81;0,00;0,00;0,00;23,81;23,81;0,00;0,00;-0,90;10,53;118;14,41;34,75;21,19;27,12;7,63;100,00;0,00;0,00;-12,62;11,80;121;74;35;11;117;2;61,16;28,93;9,09;96,69;1,65;85,14;9,46;2,70;1,89;4,78;98,65;44,59;5,22;-31,25;77;140;41;1,82;46,75;32,47;19,48;0,00;0,00;0,00;28,57;80,00;;67,21;32,79;13,11;87,80;9,76;2,44;0,00;29,51;70,49;63,93;3,28;0,00;21,31;6,56;22180;;;;;;;;;;;;;;Arandas;01;84;COM
