codgeo;nom_commune;code_departement;population_2022;typologie_commune;logements_2022;logements_vacants_2022;part_logements_vacants_2022;evol_logements_vacants_2016_2022_pct;evol_population_2016_2022_pct;score_fragilite_100
33396;Saint-Étienne-de-Lisse;33;181;Commune intermédiaire;147;58;39,46;11,54;-27,31;57,14
21541;Saint-Aubin;21;195;Commune résidentielle favorisée;181;69;38,12;81,58;-12,56;28,57
21150;Chassagne-Montrachet;21;263;Commune vieillissante;250;95;38,00;69,64;-14,61;42,86
23217;Saint-Martin-Sainte-Catherine;23;330;Commune fragile;325;123;37,85;119,64;-3,23;71,43
34279;Saint-Nazaire-de-Ladarez;34;321;Commune fragile;304;115;37,83;167,44;-12,30;100,00
03139;Laprugne;03;310;Commune fragile;472;177;37,50;152,86;-2,52;71,43
03051;Chambérat;03;279;Commune intermédiaire;202;67;33,17;103,03;-9,12;57,14
91599;Soisy-sur-École;91;1169;Commune intermédiaire;851;282;33,14;33,65;-7,81;28,57
63182;Jumeaux;63;562;Commune fragile;493;162;32,86;31,71;-12,19;85,71
87069;Gajoubert;87;148;Commune vieillissante;134;44;32,84;83,33;0,00;57,14
03178;Montaiguët-en-Forez;03;285;Commune fragile;258;84;32,56;16,67;-9,24;100,00
63184;Lachaux;63;276;Commune fragile;286;93;32,52;111,36;-1,43;85,71
03249;Saint-Palais;03;157;Commune fragile;191;62;32,46;24,00;-4,85;85,71
63220;Mazoires;63;95;Commune intermédiaire;114;37;32,46;2,78;-3,06;57,14
70202;Demangevelle;70;261;Commune fragile;234;75;32,05;13,64;-9,69;71,43
30171;Molières-sur-Cèze;30;1187;Commune fragile;1007;321;31,88;21,13;-13,17;100,00
71030;Bergesserin;71;196;Commune intermédiaire;148;47;31,76;-14,55;-4,39;42,86
71174;Dezize-lès-Maranges;71;164;Commune vieillissante;148;47;31,76;51,61;-5,75;42,86
66107;Maury;66;780;Commune fragile;670;210;31,34;6,60;-0,38;100,00
97211;Grand'Rivière;972;508;Commune fragile;429;134;31,24;69,62;-27,64;100,00
36056;Cluis;36;978;Commune fragile;756;236;31,22;44,79;-2,40;71,43
36105;Lureuil;36;274;Commune intermédiaire;151;47;31,13;42,42;3,40;57,14
89321;Ravières;89;727;Commune fragile;540;166;30,74;11,41;-5,46;85,71
03256;Saint-Priest-en-Murat;03;213;Commune intermédiaire;163;50;30,67;38,89;-4,05;42,86
16215;Médillac;16;151;Commune fragile;119;36;30,25;157,14;-4,43;71,43
34252;Saint-Étienne-Estréchoux;34;257;Commune fragile;252;76;30,16;46,15;-3,38;71,43
58079;Clamecy;58;3597;Pôle urbain / pôle d'emploi;2811;839;29,85;31,50;-5,91;100,00
66215;Trévillach;66;188;Commune intermédiaire;146;43;29,45;330,00;22,88;42,86
23098;Jalesches;23;94;Commune fragile;102;30;29,41;87,50;5,62;66,67
10187;Landreville;10;385;Commune intermédiaire;330;97;29,39;90,20;-16,67;42,86
18188;Primelles;18;193;Commune intermédiaire;143;42;29,37;23,53;-22,18;57,14
63258;Olliergues;63;736;Commune vieillissante;629;184;29,25;22,67;-2,00;57,14
33402;Sainte-Foy-la-Grande;33;2561;Commune fragile;1875;548;29,23;6,61;3,10;71,43
63009;Ardes;63;599;Commune intermédiaire;508;148;29,13;-15,91;11,34;57,14
51036;Barbonne-Fayel;51;481;Commune intermédiaire;341;99;29,03;62,30;-3,80;42,86
33423;Saint-Julien-Beychevelle;33;621;Commune intermédiaire;410;119;29,02;25,26;5,79;28,57
33384;Saint-Christophe-des-Bardes;33;390;Commune intermédiaire;255;74;29,02;64,44;-11,96;42,86
11113;Cucugnan;11;121;Commune intermédiaire;156;45;28,85;73,08;-3,97;42,86
55338;Milly-sur-Bradon;55;148;Commune fragile;111;32;28,83;14,29;-14,45;85,71
21034;Autricourt;21;136;Commune intermédiaire;132;38;28,79;15,15;4,62;42,86
89005;Ancy-le-Franc;89;837;Commune fragile;676;194;28,70;19,75;-10,48;100,00
10427;Ville-sur-Arce;10;203;Commune vieillissante;164;47;28,66;51,61;-5,58;42,86
87137;Saint-Bazile;87;143;Commune intermédiaire;123;35;28,46;118,75;25,44;57,14
43086;Domeyrat;43;173;Commune intermédiaire;152;43;28,29;53,57;-10,82;42,86
53256;Saint-Thomas-de-Courceriers;53;162;Commune fragile;152;43;28,29;53,57;-15,18;85,71
03317;Viplaix;03;293;Commune fragile;301;85;28,24;66,67;-3,30;100,00
33426;Saint-Laurent-des-Combes;33;229;Commune fragile;163;46;28,22;39,39;-12,60;71,43
19028;Bort-les-Orgues;19;2487;Commune fragile;2031;568;27,97;-7,64;-7,85;85,71
66113;Montbolo;66;179;Commune fragile;111;31;27,93;520,00;-1,65;85,71
23067;La Courtine;23;737;Commune fragile;530;148;27,92;-3,90;-0,41;71,43
12203;Roquefort-sur-Soulzon;12;501;Commune intermédiaire;369;103;27,91;-3,74;-12,26;28,57
21043;Baigneux-les-Juifs;21;203;Commune fragile;163;45;27,61;66,67;-16,12;85,71
34284;Saint-Pons-de-Thomières;34;1718;Commune fragile;1425;393;27,58;-10,88;-9,20;100,00
53173;La Pallu;53;177;Commune intermédiaire;142;39;27,46;30,00;-10,61;42,86
23008;Aubusson;23;3036;Commune fragile;2723;747;27,43;1,36;-10,71;100,00
18058;Châteauneuf-sur-Cher;18;1362;Commune fragile;957;262;27,38;30,35;-6,46;85,71
36124;Migné;36;228;Commune intermédiaire;220;60;27,27;53,85;-16,79;42,86
18074;Couargues;18;197;Commune vieillissante;165;45;27,27;-13,46;-3,90;57,14
21712;Volnay;21;225;Commune vieillissante;202;55;27,23;-15,38;-5,86;42,86
03226;Saint-Didier-en-Donjon;03;245;Commune intermédiaire;158;43;27,22;7,50;-8,92;42,86
15127;Molompize;15;272;Commune vieillissante;272;74;27,21;29,82;-5,56;57,14
21506;Premeaux-Prissey;21;372;Commune intermédiaire;250;68;27,20;54,55;-7,46;28,57
36223;Tilly;36;138;Commune intermédiaire;173;47;27,17;95,83;1,47;57,14
16183;Lésignac-Durand;16;169;Commune fragile;177;48;27,12;-5,88;-8,15;85,71
23251;Tardes;23;119;Commune intermédiaire;119;32;26,89;113,33;-13,14;42,86
23105;Lavaveix-les-Mines;23;642;Commune fragile;556;149;26,80;24,17;-5,73;85,71
15206;Saint-Pierre;15;146;Commune intermédiaire;131;35;26,72;133,33;8,15;42,86
55225;Halles-sous-les-Côtes;55;138;Commune intermédiaire;109;29;26,61;45,00;-10,97;28,57
88221;Gruey-lès-Surance;88;210;Commune fragile;203;54;26,60;0,00;-18,29;85,71
23254;Toulx-Sainte-Croix;23;252;Commune fragile;309;82;26,54;0,00;-4,91;71,43
23236;Saint-Priest-la-Plaine;23;256;Commune vieillissante;196;52;26,53;18,18;-1,92;57,14
66046;Caudiès-de-Fenouillèdes;66;585;Commune fragile;536;142;26,49;184,00;-7,14;71,43
18232;Saint-Priest-la-Marche;18;249;Commune fragile;208;55;26,44;5,77;11,16;71,43
21334;Lacanche;21;477;Commune fragile;322;85;26,40;57,41;-15,72;85,71
58083;Corbigny;58;1330;Commune fragile;1089;287;26,35;36,67;-11,21;85,71
15202;Saint-Martin-Valmeroux;15;713;Commune fragile;594;156;26,26;147,62;-6,55;85,71
89364;Saint-Père;89;287;Commune fragile;301;79;26,25;12,86;-9,46;71,43
63152;Espinasse;63;277;Commune fragile;301;79;26,25;54,90;-5,46;100,00
