codgeo;nom_commune;code_departement;population_2022;typologie_commune;part_60_ans_plus_2022;part_75_ans_plus_2022;indice_vieillissement_simplifie;evol_population_2016_2022_pct;part_menages_personnes_seules_2022;part_80_plus_seuls_2022
31127;Caubous;31;3;Commune vieillissante;100,00;0,00;;-25,00;;
88288;Maroncourt;88;5;Commune vieillissante;80,00;20,00;;-54,55;0,00;100,00
11147;Fontanès-de-Sault;11;5;Commune vieillissante;80,00;20,00;400,00;0,00;0,00;
21279;Fontaines-les-Sèches;21;26;Commune vieillissante;76,92;19,23;2000,00;-7,14;33,33;0,00
09096;Château-Verdun;09;41;Commune vieillissante;75,61;34,15;1550,00;0,00;66,67;63,64
31348;Moncaup;31;36;Commune vieillissante;75,00;25,00;;-5,26;40,91;50,00
39324;Mérona;39;8;Commune vieillissante;75,00;12,50;;-11,11;0,00;
26030;La Bâtie-des-Fonds;26;4;Commune vieillissante;75,00;50,00;;-20,00;0,00;
11096;Comus;11;33;Commune vieillissante;72,73;33,33;1200,00;-23,26;25,00;75,00
26161;Lemps;26;43;Commune vieillissante;72,09;16,28;1033,33;-10,42;38,46;100,00
09237;Le Puch;09;28;Commune vieillissante;71,43;28,57;;-3,45;72,73;50,00
05051;Étoile-Saint-Cyrice;05;24;Commune vieillissante;70,83;12,50;566,67;-22,58;66,67;100,00
11031;Belfort-sur-Rebenty;11;24;Commune vieillissante;70,83;20,83;;-17,24;66,67;100,00
43064;Chassignolles;43;64;Commune vieillissante;70,31;12,50;2250,00;0,00;53,66;57,14
65111;Bulan;65;59;Commune vieillissante;69,49;18,64;820,00;-1,67;41,18;22,22
79055;Brieuil-sur-Chizé;79;98;Commune vieillissante;69,39;40,82;618,18;-17,65;19,23;0,00
15260;Vieillevie;15;104;Commune vieillissante;69,23;20,19;1440,00;-6,31;45,31;36,36
15066;Le Falgoux;15;116;Commune vieillissante;68,97;30,17;1142,86;-6,45;46,48;26,67
2B081;Castiglione;2B;41;Commune vieillissante;68,29;34,15;700,00;0,00;31,82;40,00
65381;Sabarros;65;33;Commune vieillissante;66,67;45,45;275,00;-2,94;66,67;36,36
2B124;Ghisoni;2B;194;Commune vieillissante;66,49;30,93;758,82;-8,92;52,54;46,88
