codgeo;nom_commune;code_departement;population_2022;typologie_commune;score_fragilite_100;score_attractivite_100;evol_population_2016_2022_pct;niveau_vie_median_euros;part_diplomes_superieur_2022;taux_chomage_2022;part_logements_vacants_2022;emplois_lieu_travail_2022
78073;Bois-d'Arcy;78;16225;Pôle urbain / pôle d'emploi;14,29;100,00;10,35;27520;43,86;5,62;4,74;4640
44209;Treillières;44;10414;Pôle urbain / pôle d'emploi;0,00;100,00;15,99;27760;51,06;4,89;4,08;3324
44169;Saint-Julien-de-Concelles;44;7768;Pôle urbain / pôle d'emploi;0,00;100,00;12,78;25110;38,32;5,32;4,37;2772
35068;Châteaubourg;35;7522;Pôle urbain / pôle d'emploi;0,00;100,00;7,60;24830;42,85;5,59;3,95;4704
44130;Pont-Saint-Martin;44;6942;Pôle urbain / pôle d'emploi;0,00;100,00;18,12;25530;38,12;4,88;4,14;1888
44066;Grandchamp-des-Fontaines;44;6910;Pôle urbain / pôle d'emploi;0,00;100,00;18,30;26190;45,72;4,88;4,47;2039
72058;Changé;72;6803;Pôle urbain / pôle d'emploi;0,00;100,00;5,26;25280;32,95;5,72;4,75;1864
13060;Meyreuil;13;6341;Pôle urbain / pôle d'emploi;0,00;100,00;14,40;27130;47,36;5,55;4,14;3369
35207;Noyal-sur-Vilaine;35;6249;Pôle urbain / pôle d'emploi;0,00;100,00;5,66;26350;38,77;5,81;3,18;5455
76481;Octeville-sur-Mer;76;6147;Pôle urbain / pôle d'emploi;0,00;100,00;5,08;29440;39,10;5,24;3,17;2089
38557;Villette-d'Anthon;38;5240;Pôle urbain / pôle d'emploi;0,00;100,00;7,36;29300;39,93;5,37;3,05;1632
85155;Mouilleron-le-Captif;85;5209;Pôle urbain / pôle d'emploi;0,00;100,00;6,05;25480;34,23;5,63;2,70;2669
44002;Aigrefeuille-sur-Maine;44;4120;Pôle urbain / pôle d'emploi;0,00;100,00;9,49;24830;37,69;5,45;3,91;1550
44014;Le Bignon;44;3967;Pôle urbain / pôle d'emploi;0,00;100,00;6,70;25430;40,30;4,70;4,08;2058
73151;Porte-de-Savoie;73;3944;Pôle urbain / pôle d'emploi;0,00;100,00;10,17;27220;43,98;5,40;4,71;2366
33065;Bouliac;33;3806;Pôle urbain / pôle d'emploi;0,00;100,00;7,15;30540;51,59;5,42;4,49;2155
76377;Isneauville;76;3713;Pôle urbain / pôle d'emploi;0,00;100,00;28,61;31100;51,72;4,79;4,54;3466
44089;Malville;44;3689;Pôle urbain / pôle d'emploi;0,00;100,00;7,58;25080;36,38;5,49;4,39;2063
33274;Martillac;33;3581;Pôle urbain / pôle d'emploi;0,00;100,00;20,37;28340;46,60;5,36;4,74;3402
79109;Échiré;79;3536;Pôle urbain / pôle d'emploi;0,00;100,00;5,96;25850;36,23;5,53;4,53;1456
35227;Pleumeleuc;35;3535;Pôle urbain / pôle d'emploi;0,00;100,00;8,10;25370;40,13;5,47;4,48;1477
44032;La Chapelle-Heulin;44;3443;Pôle urbain / pôle d'emploi;0,00;100,00;5,48;25180;41,20;4,28;4,48;898
33448;Saint-Médard-d'Eyrans;33;3361;Pôle urbain / pôle d'emploi;0,00;100,00;14,16;26690;34,75;5,57;4,83;1324
78683;Villiers-Saint-Frédéric;78;3231;Pôle urbain / pôle d'emploi;0,00;100,00;15,35;31450;53,18;5,34;4,56;1676
69298;Toussieu;69;3186;Pôle urbain / pôle d'emploi;0,00;100,00;7,67;29590;46,96;4,17;4,32;1211
33085;Camblanes-et-Meynac;33;3145;Commune résidentielle favorisée;0,00;100,00;9,51;28180;43,80;5,41;4,72;1127
76591;Saint-Jacques-sur-Darnétal;76;3134;Commune résidentielle favorisée;0,00;100,00;15,65;27720;38,88;4,45;4,16;955
