codgeo;nom_commune;code_departement;population_2022;typologie_commune;score_fragilite_100;score_attractivite_100;taux_chomage_2022;niveau_vie_median_euros;part_sans_diplome_2022;part_logements_vacants_2022;part_familles_monoparentales_2022;evol_population_2016_2022_pct;part_60_ans_plus_2022
76217;Dieppe;76;28599;Pôle urbain / pôle d'emploi;100;16,67;20,68;18850;30,03;11,66;23,50;-3,40;37,57
47323;Villeneuve-sur-Lot;47;22004;Pôle urbain / pôle d'emploi;100;16,67;17,84;19420;26,53;14,38;19,50;-1,86;36,94
71153;Le Creusot;71;20536;Pôle urbain / pôle d'emploi;100;16,67;15,66;20180;26,27;12,76;18,06;-5,59;37,16
47157;Marmande;47;17361;Pôle urbain / pôle d'emploi;100;16,67;15,36;19840;29,07;11,35;19,88;-1,61;36,35
71306;Montceau-les-Mines;71;16946;Pôle urbain / pôle d'emploi;100;16,67;19,80;19210;33,67;14,92;17,37;-9,49;37,48
41269;Vendôme;41;15566;Pôle urbain / pôle d'emploi;100;16,67;15,67;21030;28,09;12,32;19,38;-6,72;37,82
79329;Thouars;79;13949;Pôle urbain / pôle d'emploi;100;16,67;14,35;20280;29,08;11,08;18,51;-0,75;36,80
65286;Lourdes;65;13266;Pôle urbain / pôle d'emploi;100;16,67;22,64;18810;25,96;16,37;22,20;-2,82;40,81
71014;Autun;71;13144;Pôle urbain / pôle d'emploi;100;16,67;15,86;20070;28,11;16,97;19,90;-2,87;38,83
36088;Issoudun;36;10953;Pôle urbain / pôle d'emploi;100;16,67;15,28;20680;30,17;17,54;21,39;-7,87;38,71
58086;Cosne-Cours-sur-Loire;58;9786;Pôle urbain / pôle d'emploi;100;16,67;15,70;21140;31,40;13,79;16,74;-3,13;42,78
28280;Nogent-le-Rotrou;28;9305;Pôle urbain / pôle d'emploi;100;16,67;13,09;21140;32,67;13,87;19,83;-6,39;38,12
84138;Valréas;84;9285;Pôle urbain / pôle d'emploi;100;16,67;12,63;18900;28,89;14,14;16,57;-1,81;36,54
97232;Le Vauclin;972;8481;Commune fragile;100;0,00;15,49;18020;31,36;21,90;41,51;-5,78;37,32
30334;Uzès;30;8359;Pôle urbain / pôle d'emploi;100;16,67;18,41;20910;25,33;13,78;18,74;-1,54;42,96
34199;Pézenas;34;7789;Pôle urbain / pôle d'emploi;100;16,67;18,69;18750;23,37;13,55;27,89;-4,86;38,73
88383;Remiremont;88;7499;Pôle urbain / pôle d'emploi;100;16,67;13,24;20340;26,28;13,33;23,14;-2,96;37,18
71176;Digoin;71;7380;Pôle urbain / pôle d'emploi;100;16,67;14,84;19650;33,32;17,39;16,44;-5,52;41,03
17347;Saint-Jean-d'Angély;17;6678;Pôle urbain / pôle d'emploi;100;16,67;21,02;20240;27,36;21,59;20,56;-5,49;42,90
97214;Le Lorrain;972;6607;Pôle urbain / pôle d'emploi;100;16,67;17,47;15940;37,62;22,71;46,08;-4,67;39,64
43040;Brioude;43;6522;Pôle urbain / pôle d'emploi;100;16,67;16,93;20340;25,80;17,75;16,35;-2,90;38,82
32107;Condom;32;6454;Pôle urbain / pôle d'emploi;100;16,67;13,09;19750;29,58;18,62;18,06;-1,53;41,66
89025;Avallon;89;6346;Pôle urbain / pôle d'emploi;100;16,67;14,59;19840;28,84;16,27;22,75;-5,96;36,35
37132;Loches;37;6233;Pôle urbain / pôle d'emploi;100;16,67;15,66;21200;30,31;11,77;19,30;-0,80;41,65
36018;Le Blanc;36;6188;Pôle urbain / pôle d'emploi;100;16,67;13,48;20260;31,72;14,40;16,25;-5,11;38,98
